"","variable","biome","loc","type","seasonal_sd","seasonal_range","spatial_sd","spatial_range","total_area_km2","mean","areaW_mean","sd","min","max","se"
"69","ph_total","SO_STSS","SO","STSS",0.00483546680625211,0.0131587120785532,0.0100169391475204,0.0830982685089143,3562064668.94874,8.10719911368872,8.10752358193486,0.0150955266571314,7.99474191665649,8.24352169036865,2.41387883125294e-05
"70","ph_total","SP_STPS","SP","STPS",0.0116365335321045,0.030490335187956,0.021304239328381,0.117014952500659,6426958594.87582,8.08654603921021,8.08567945282277,0.0262549863215231,7.97236728668213,8.14439964294434,3.44507350461393e-05
"71","ph_free","Atl_EQU","Atl","EQU",0.00377074503227738,0.0109955429604653,0.013712516103412,0.0521214644114174,900923427.328359,8.18024935834938,8.18024370817886,0.0160492264314373,8.10628414154053,8.22709560394287,5.98119354783004e-05
"72","ph_free","IND_STPS","IND","STPS",0.00535142669650082,0.0138974576040205,0.00892448072141976,0.0466000715891539,4389596574.79992,8.19367237633632,8.19338636656204,0.0131140963414686,8.13709545135498,8.2345666885376,2.14426938860811e-05
"73","ph_free","NA_SPSS","NA","SPSS",0.0288896346284978,0.07146041199689,0.0247489123913986,0.203015820185344,1203358189.28354,8.18067586118548,8.17664290037208,0.0464056263548478,7.82536697387695,8.35985660552979,0.000102562949659977
"74","ph_free","NA_STPS","NA","STPS",0.00866263997832654,0.0235026772112406,0.00849635881788421,0.0342228333155319,2132423651.36161,8.19709664012187,8.19719731116409,0.0137374099972957,8.14480781555176,8.23260688781738,3.17913844337897e-05
"75","ph_free","NA_STSS","NA","STSS",0.00545246581561423,0.0167495752574265,0.00843851837160291,0.0305859247843436,724326005.550699,8.18960537865758,8.1899359284606,0.0148302416717298,8.13838291168213,8.22891616821289,5.35140251332524e-05
"76","ph_free","NP_SPSS","NP","SPSS",0.0212740424349302,0.0536630513666392,0.0194830539566522,0.120535890261333,1543172092.97829,8.14969564555315,8.15024382389277,0.0414320932040568,7.94948530197144,8.37182426452637,9.530286857194e-05
"77","ph_free","NP_STPS","NP","STPS",0.00788444707232427,0.0219830484313022,0.0136798081939775,0.0600769122441616,5013758235.04182,8.18855881801172,8.188834005107,0.0185331480361379,8.09448909759521,8.23692893981934,2.83155149165483e-05
"78","ph_free","NP_STSS","NP","STSS",0.0137806577750842,0.0401560949516178,0.0171083594050079,0.0591942389806093,831740386.881791,8.18798456489894,8.18846470481011,0.0246606321575578,8.10513305664062,8.24686241149902,8.6139675298022e-05
"79","ph_free","Pac_EQU_E","Pac","EQU",0.00364680080135241,0.0112973018309734,0.0291902032337752,0.103518644968668,1816743239.09272,8.13849542488038,8.13847237588051,0.0329240059088842,8.04786777496338,8.2282657623291,8.64388335195919e-05
"80","ph_free","Pac_EQU_W","Pac","EQU",0.00138860774111957,0.00396904314316338,0.00729486964709334,0.0391122102737427,1393863611.44212,8.1923494336343,8.19231898401182,0.0108860759496225,8.12856101989746,8.21895408630371,3.25691104104259e-05
"81","ph_free","SA_STPS","SA","STPS",0.0081179647327289,0.0220349936553923,0.00856661192686683,0.0454914887746174,2207132827.37751,8.18553738327165,8.18535782376532,0.0139084386064923,8.11509895324707,8.23088645935059,3.16920429942822e-05
"82","ph_free","SO_SPSS","SO","SPSS",0.00678927121128603,0.0197857176754113,0.0050957111458851,0.0554444233576472,3720886911.45829,8.14708879496305,8.14698494316739,0.0120137727627426,8.09831047058105,8.28701686859131,1.66703671181671e-05
"83","ph_free","SO_STSS","SO","STSS",0.00865521656194259,0.0228563804505146,0.0168711425820317,0.0842220226923622,3562064668.94874,8.17675203414345,8.17757717005649,0.0215680412269441,8.05434989929199,8.3011531829834,3.44887855401294e-05
"84","ph_free","SP_STPS","SP","STPS",0.00775121423154797,0.0208945228463424,0.0238842905904134,0.10657905737559,6426958594.87582,8.18350504630525,8.18432329403942,0.0266622831974949,8.06058216094971,8.23836612701416,3.49851735938266e-05
"85","hco3","Atl_EQU","Atl","EQU",15.2205988398924,43.6405803700616,39.4639527144402,175.477398681641,900923427.328359,1746.05190608046,1746.03860900332,47.5641400570859,1590.31640625,1874.97204589844,0.177261084098275
"86","hco3","IND_STPS","IND","STPS",11.6654936399587,32.1528730263396,60.2821185281968,260.450408935547,4389596574.79992,1737.65148846934,1734.15869322118,62.4430930244196,1570.01525878906,1919.93273925781,0.102099915553371
"87","hco3","NA_SPSS","NA","SPSS",41.280409474646,112.655199956195,112.477164618975,831.162001546224,1203358189.28354,1928.11764449348,1919.17532874611,120.64100742984,946.482971191406,2051.16137695312,0.266633564588511
"88","hco3","NA_STPS","NA","STPS",13.7649028312082,37.0615407677271,44.2082884439976,170.134781901042,2132423651.36161,1795.41824093895,1793.20564598699,47.3335258854686,1672.74230957031,1920.21520996094,0.109540176665609
"89","hco3","NA_STSS","NA","STSS",31.3727707516645,84.1847948977647,31.4579566244459,131.378006998697,724326005.550699,1859.8616034619,1858.32084597371,45.431024978612,1728.55712890625,1970.15014648438,0.163935090631014
"90","hco3","NP_SPSS","NP","SPSS",50.1163613548049,131.488653741618,36.3945049757467,153.688741048177,1543172092.97829,1905.74946186019,1903.74156814071,65.4445701588023,1683.94604492188,2079.90380859375,0.150536813041846
"91","hco3","NP_STPS","NP","STPS",11.2143657378076,29.6025068758559,49.6723058407358,192.102716064453,5013758235.04182,1721.99753834131,1719.58815086824,52.1968831758009,1611.28979492188,1884.47497558594,0.0797480072613563
"92","hco3","NP_STSS","NP","STSS",36.5277348087346,98.8427824742841,40.986793807295,158.51977335612,831740386.881791,1792.47927020451,1790.81676706904,56.9356913479783,1628.10070800781,1968.34912109375,0.198876571137702
"93","hco3","Pac_EQU_E","Pac","EQU",4.59498960756023,16.4834131308883,57.0295073955487,242.721801757812,1816743239.09272,1763.21989277182,1763.2579710909,62.8576769366038,1596.58068847656,1947.9453125,0.165026828363108
"94","hco3","Pac_EQU_W","Pac","EQU",2.76064413882609,8.70729224773208,19.0986185663641,89.4609222412112,1393863611.44212,1670.90655166402,1670.90249584511,24.1752041389401,1602.85681152344,1784.17785644531,0.0723277052667473
"95","hco3","SA_STPS","SA","STPS",12.1815095513797,33.6046346683938,23.3729985961741,106.627574666341,2207132827.37751,1825.65719792922,1824.72867581984,28.1432876053238,1725.14794921875,1916.45104980469,0.0641278511573567
"96","hco3","SO_SPSS","SO","SPSS",12.7011584751813,32.9523801073076,28.0989229012219,147.848964436849,3720886911.45829,2000.68559869327,1998.89822089956,31.7002433124502,1830.16320800781,2095.04711914062,0.0439874054712124
"97","hco3","SO_STSS","SO","STSS",23.8331932574897,63.5301935134798,36.6161698247304,196.249091593425,3562064668.94874,1896.32261524038,1894.32451888369,45.3648007162987,1650.81555175781,2013.04345703125,0.0725414453038308
"98","hco3","SP_STPS","SP","STPS",13.7188552452836,36.6170915653504,63.7655072024505,291.36294148763,6426958594.87582,1803.26904937681,1797.9668919479,66.0671966447521,1639.36120605469,1977.37426757812,0.0866907131078444
"99","co3","Atl_EQU","Atl","EQU",4.86522569230092,14.2692142194141,8.08326160219089,43.6753969828288,900923427.328359,235.049077369266,235.047540590486,10.9253128348166,188.471969604492,263.671600341797,0.0407162369568346
"100","co3","IND_STPS","IND","STPS",3.46402751237967,9.46808426455291,13.2883164220631,71.8819559733073,4389596574.79992,227.332993081184,228.055690946557,14.6530666816444,159.038223266602,268.042755126953,0.0239590449212492
"101","co3","NA_SPSS","NA","SPSS",16.621714602875,44.8690673334661,21.4052810307,144.435575064023,1203358189.28354,135.598450136342,137.404754613585,27.2646280387222,11.3210678100586,206.429183959961,0.0602586559580256
"102","co3","NA_STPS","NA","STPS",5.16375484467668,13.9026934445727,12.7656342221003,59.1456142425536,2132423651.36161,242.99269441451,243.518544815069,14.4571541736344,181.057647705078,273.118133544922,0.033457030564208
"103","co3","NA_STSS","NA","STSS",12.3240024242163,33.2596352503134,18.8779291065487,75.2476960500082,724326005.550699,203.301672892968,204.41980080771,22.9068274427048,113.745719909668,256.931243896484,0.0826578936895369
"104","co3","NP_SPSS","NP","SPSS",18.0547182235808,48.1770236912529,14.8529903545311,64.9241463979085,1543172092.97829,124.740857917129,125.938452249236,24.5719352193008,59.8689270019531,207.695755004883,0.0565208207374363
"105","co3","NP_STPS","NP","STPS",3.64272696355006,9.90857140133664,19.5045840202853,92.1677766164144,5013758235.04182,222.356779385379,223.121360254428,20.3085043821251,134.83219909668,253.054153442383,0.0310279590733082
"106","co3","NP_STSS","NP","STSS",12.0229822224112,32.7447129497311,23.3706338719105,84.0260485331218,831740386.881791,188.926551159328,189.87106996924,26.9440546158159,116.373977661133,243.701080322266,0.0941156780162771
"107","co3","Pac_EQU_E","Pac","EQU",2.19216972346243,6.23864304678631,14.6195134756649,66.9152826944987,1816743239.09272,209.249006726034,209.245470551826,17.2735139521698,148.477035522461,260.054504394531,0.045349961391152
"108","co3","Pac_EQU_W","Pac","EQU",0.8334287594394,2.82349955399971,5.17729718715349,29.7472989400228,1393863611.44212,241.46412764077,241.449084778658,6.63451825836042,209.899795532227,262.144927978516,0.019849242158192
"109","co3","SA_STPS","SA","STPS",5.89932326701698,16.3709288757418,19.080683437567,78.9290860493978,2207132827.37751,225.194212198307,226.122411870063,20.3339306967566,155.580871582031,272.767974853516,0.0463332962179921
"110","co3","SO_SPSS","SO","SPSS",5.16728628399293,13.5416650634371,9.78416168973372,49.0650484720866,3720886911.45829,109.131158716731,109.768599116419,11.4242668567664,81.6816558837891,170.266693115234,0.0158523659735618
"111","co3","SO_STSS","SO","STSS",10.0132643209102,26.7547280608235,21.9267066456462,103.990755844116,3562064668.94874,160.838480643665,162.092219300966,24.6561483604407,100.588508605957,240.639038085938,0.0394268818434254
"112","co3","SP_STPS","SP","STPS",5.32257592100779,13.9483638372268,35.1757248519217,136.330286471049,6426958594.87582,210.083624627413,213.242149177555,35.8751253283928,112.342445373535,266.587371826172,0.0470738937853616
"113","co2","Atl_EQU","Atl","EQU",0.241679570191478,0.681800300073254,0.58262693753244,2.02318053245544,900923427.328359,10.2981544450257,10.2981449983766,0.711048594180049,8.81797409057617,13.6322364807129,0.00264992165315375
"114","co2","IND_STPS","IND","STPS",0.133068661114005,0.3730796067066,0.710211448092496,3.50946375528971,4389596574.79992,10.1698625851106,10.13154067953,0.766093544703136,8.53180599212646,14.3019123077393,0.00125262991360124
"115","co2","NA_SPSS","NA","SPSS",2.29016120884923,6.04947714954851,1.52734778447047,8.04463112354279,1203358189.28354,16.4091110774619,16.185274752771,2.99078192499223,7.08664846420288,35.6973724365234,0.00661004796425731
"116","co2","NA_STPS","NA","STPS",0.152882837919935,0.418261118780018,0.616898163048715,2.56344799995422,2132423651.36161,10.3263736639405,10.2977739782975,0.662200147223127,8.94487571716309,13.2899684906006,0.00153247660633459
"117","co2","NA_STSS","NA","STSS",0.659430098872401,1.80531506911085,0.913968436148893,3.2892253001531,724326005.550699,11.8856709757447,11.834150285388,1.20898063903558,9.62214946746826,18.7390270233154,0.0043625331087015
"118","co2","NP_SPSS","NP","SPSS",2.72266587512896,7.17781544628876,2.07605652188165,8.34226442178091,1543172092.97829,17.3203743679303,17.1690542233324,3.79313184869026,9.83938407897949,37.4759826660156,0.00872503216941914
"119","co2","NP_STPS","NP","STPS",0.148416684985974,0.402550434533829,0.974814182547497,4.47311322689056,5013758235.04182,10.2205953993272,10.1791039271298,1.01706805952816,8.81517791748047,15.109393119812,0.00155390793590811
"120","co2","NP_STSS","NP","STSS",0.654030063432221,1.94749187543602,1.31136028552416,4.53254160086314,831740386.881791,11.6970053438445,11.6451801775855,1.57457236963312,9.0654993057251,18.6869029998779,0.00549998685300801
"121","co2","Pac_EQU_E","Pac","EQU",0.0805539447621281,0.274139841811269,1.2581552137126,4.97971592744191,1816743239.09272,11.6153650581393,11.616125032597,1.43083721262447,8.72209930419922,17.0067138671875,0.00375652646758607
"122","co2","Pac_EQU_W","Pac","EQU",0.0462555505430134,0.126218736237362,0.226014892585628,1.07807232538859,1393863611.44212,9.46055790369885,9.46119495422872,0.352449758985572,8.82325172424316,11.7293405532837,0.00105446399305409
"123","co2","SA_STPS","SA","STPS",0.155803938088768,0.43050404058401,0.587108043242991,2.62426894505819,2207132827.37751,11.0657328718845,11.0420300614345,0.659730443733509,9.5871753692627,13.9211130142212,0.00150327482321988
"124","co2","SO_SPSS","SO","SPSS",1.01063183408949,2.61770274077806,1.83191605090939,9.1756165822347,3720886911.45829,20.3518757316554,20.2328746975038,2.17234032918149,11.6851367950439,28.095796585083,0.00301434957263069
"125","co2","SO_STSS","SO","STSS",0.911437529706912,2.43079749481973,1.72363539427581,8.01713444391886,3562064668.94874,14.1489883627215,14.0499588255857,2.02549179037672,9.04631328582764,20.7941360473633,0.00323890107759652
