id,period,mean_delta,areaW_mean_delta,sd_delta,min_delta,max_delta,se_delta,n_delta,scenario,var,biome,loc,type,mean_abs,areaW_mean_abs,sd_abs,min_abs,max_abs,se_abs,n_abs
ssp245_carbonate_SO_SPSS,2090s,-28.56112375,-28.61660815,3.576966086,-47.76462064,-14.39589217,0.007032339,258720,ssp245,carbonate,SO_SPSS,SO,SPSS,75.86354187,76.54099594,10.35366596,40.12742658,131.7207622,0.020355377,258720
ssp245_carbonate_SO_STSS,1850s,24.90266909,25.04384113,4.672739552,-4.469836905,44.90307219,0.010704911,190536,ssp245,carbonate,SO_STSS,SO,STSS,175.4179149,176.8296862,29.39399271,71.56128631,271.5776298,0.067339527,190536
ssp245_carbonate_SO_STSS,2090s,-38.24311502,-38.51088623,7.212106719,-65.4254553,-8.384440062,0.016522419,190536,ssp245,carbonate,SO_STSS,SO,STSS,112.2721308,113.2749588,20.75062743,53.29007902,179.9571525,0.047538198,190536
ssp245_carbonate_SP_STPS,1850s,30.11133221,30.20015621,5.458156243,-4.850978358,43.48928921,0.010181072,287412,ssp245,carbonate,SP_STPS,SP,STPS,234.4736849,237.820341,40.26430124,113.6075237,302.1117155,0.075104804,287412
ssp245_carbonate_SP_STPS,2090s,-47.08882426,-47.50108501,8.188726277,-73.30606464,-8.311419346,0.015274391,287412,ssp245,carbonate,SP_STPS,SP,STPS,157.2735285,160.1190998,31.67909033,74.69904497,209.5936683,0.059090852,287412
ssp245_dic_Atl_EQU,1850s,-49.61007712,-49.60030591,14.80113162,-194.3865797,84.82965122,0.079205949,34920,ssp245,dic,Atl_EQU,Atl,EQU,1939.183967,1939.173138,70.68820367,1337.386146,2060.149657,0.378276906,34920
ssp245_dic_Atl_EQU,2090s,99.59117642,99.58420679,14.09381963,-46.4295388,195.052463,0.075420879,34920,ssp245,dic,Atl_EQU,Atl,EQU,2088.38522,2088.357651,78.17857506,1302.650205,2186.024491,0.418360461,34920
ssp245_dic_IND_STPS,1850s,-52.58629146,-52.40353242,6.85805873,-82.09882123,-1.650516013,0.016117925,181044,ssp245,dic,IND_STPS,IND,STPS,1924.532348,1922.696397,58.73924143,1570.142478,2072.48803,0.138049954,181044
ssp245_dic_IND_STPS,2090s,82.46731303,82.25825631,14.01466966,1.990172906,182.829377,0.032937512,181044,ssp245,dic,IND_STPS,IND,STPS,2059.585953,2057.358186,69.47872601,1669.304211,2221.062636,0.163290071,181044
ssp245_dic_NA_SPSS,1850s,-47.9754126,-47.57684123,10.07130679,-136.2191015,110.2038052,0.03331438,91392,ssp245,dic,NA_SPSS,NA,SPSS,1994.87788,1991.081496,139.4685884,522.9385327,2145.974903,0.461341278,91392
ssp245_dic_NA_SPSS,2090s,38.78086118,35.82913465,42.95874306,-95.14090476,194.3310945,0.142101112,91392,ssp245,dic,NA_SPSS,NA,SPSS,2081.634154,2074.487472,143.9334128,561.5672874,2275.151375,0.476110251,91392
ssp245_dic_NA_STPS,1850s,-64.36610495,-64.45204253,6.749371793,-119.7565023,-31.22765496,0.022457519,90324,ssp245,dic,NA_STPS,NA,STPS,2005.443797,2004.282287,56.58349131,1731.179384,2111.653809,0.188273051,90324
ssp245_dic_NA_STPS,2090s,114.7786722,114.9562447,18.71315545,32.26257018,164.5953726,0.062265208,90324,ssp245,dic,NA_STPS,NA,STPS,2184.588574,2183.690575,61.29209985,1924.266983,2300.229469,0.203940237,90324
ssp245_dic_NA_STSS,1850s,-54.24108066,-54.46989078,7.18137416,-79.55420564,-18.75678423,0.03703708,37596,ssp245,dic,NA_STSS,NA,STSS,2009.361481,2009.68865,69.4633452,1822.918733,2133.777968,0.358248907,37596
ssp245_dic_NA_STSS,2090s,76.5113312,78.19714103,42.28863923,-44.80221823,144.4602808,0.218098606,37596,ssp245,dic,NA_STSS,NA,STSS,2140.113893,2142.355682,79.76120436,1914.889162,2290.661171,0.411358885,37596
ssp245_dic_NP_SPSS,1850s,-36.76200213,-37.24665409,9.132890478,-80.44680422,72.02714441,0.030325934,90696,ssp245,dic,NP_SPSS,NP,SPSS,1955.736127,1954.720573,71.52280496,1522.724746,2137.748639,0.237492813,90696
ssp245_dic_NP_SPSS,2090s,42.00363686,42.94822501,15.32097664,-79.95678815,138.6189782,0.05087359,90696,ssp245,dic,NP_SPSS,NP,SPSS,2034.501766,2034.915452,79.96069649,1505.249144,2208.401424,0.26551099,90696
ssp245_dic_NP_STPS,1850s,-49.79241548,-49.66424274,7.634815467,-91.70998787,-15.91623009,0.016648646,210300,ssp245,dic,NP_STPS,NP,STPS,1910.741824,1909.478331,54.65637542,1592.178944,2021.471819,0.119184888,210300
ssp245_dic_NP_STPS,2090s,73.09381146,73.21539159,17.88574512,-2.286635146,114.7615147,0.039002047,210300,ssp245,dic,NP_STPS,NP,STPS,2033.628051,2032.357966,67.59613679,1678.92435,2177.98145,0.147401614,210300
ssp245_dic_NP_STSS,1850s,-50.07198637,-50.18974272,6.278772843,-71.32633928,-20.79984618,0.031171777,40572,ssp245,dic,NP_STSS,NP,STSS,1927.189255,1926.845465,52.35908096,1719.769845,2052.715899,0.259943407,40572
ssp245_dic_NP_STSS,2090s,67.14602519,67.41040097,14.06574081,30.58593055,114.5658187,0.069831183,40572,ssp245,dic,NP_STSS,NP,STSS,2044.407266,2044.445609,62.16522564,1824.117021,2177.476142,0.308627276,40572
ssp245_dic_Pac_EQU_E,1850s,-38.99562559,-38.99389521,6.236171223,-79.10514242,25.26539008,0.023198347,72264,ssp245,dic,Pac_EQU_E,Pac,EQU,1953.648264,1953.697661,67.02439465,1494.130166,2086.224545,0.249328487,72264
ssp245_dic_Pac_EQU_E,2090s,66.65125499,66.64094265,17.16401832,-14.36555881,155.5885479,0.063849569,72264,ssp245,dic,Pac_EQU_E,Pac,EQU,2059.295144,2059.332499,64.79363093,1651.469774,2180.69115,0.241030121,72264
ssp245_dic_Pac_EQU_W,1850s,-38.34946928,-38.33572981,8.179301819,-88.9680385,6.265378759,0.035746457,52356,ssp245,dic,Pac_EQU_W,Pac,EQU,1909.656783,1909.774931,46.2633161,1734.711499,2014.702478,0.20218714,52356
ssp245_dic_Pac_EQU_W,2090s,56.47634192,56.42395058,28.39860439,-19.30117293,149.4565477,0.124111998,52356,ssp245,dic,Pac_EQU_W,Pac,EQU,2004.482594,2004.534611,46.44893954,1829.981363,2113.85506,0.202998381,52356
ssp245_dic_SA_STPS,1850s,-53.9172619,-53.9980937,6.776784941,-109.8929823,-4.159494833,0.022169096,93444,ssp245,dic,SA_STPS,SA,STPS,1995.488652,1995.627578,55.51068567,1684.333788,2101.056889,0.181593743,93444
ssp245_dic_SA_STPS,2090s,94.9969165,95.32270081,12.46617584,55.1456607,163.8170366,0.040780969,93444,ssp245,dic,SA_STPS,SA,STPS,2144.402831,2144.948373,58.4913465,1886.149183,2253.415918,0.191344467,93444
ssp245_dic_SO_SPSS,1850s,-35.86522825,-35.96333777,4.842191584,-64.62520924,17.93660882,0.009519781,258720,ssp245,dic,SO_SPSS,SO,SPSS,2041.315101,2040.261284,55.81978175,1527.143478,2202.315419,0.109742066,258720
