id,month,period,seas_mean_delta,seas_areaW_mean_delta,seas_sd_delta,seas_min_delta,seas_max_delta,seas_se_delta,n,scenario,var,biome,loc,type,seas_mean_abs,seas_areaW_mean_abs,seas_sd_abs,seas_min_abs,seas_max_abs,seas_se_abs
ssp245_aqueous_NA_STPS,3,2090s,5.712622272,5.68764339,0.555348581,4.789011611,7.700785988,0.006401101,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.26070365,16.20805778,1.173007962,14.63463093,20.61950922,0.013520414
ssp245_aqueous_NA_STPS,4,2090s,5.741150104,5.714766492,0.584158059,4.604660568,7.831845407,0.006733167,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.27681383,16.22641933,1.168860304,14.67631257,20.93562898,0.013472607
ssp245_aqueous_NA_STPS,5,2090s,5.787837071,5.757956903,0.650064716,4.476143939,8.36456658,0.007492826,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.39020805,16.33693846,1.243110624,14.42642547,21.30493314,0.014328437
ssp245_aqueous_NA_STPS,6,2090s,5.806189401,5.774933093,0.664461635,4.534758716,8.349166562,0.007658769,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.54416535,16.48400228,1.326860028,14.40769308,21.51041339,0.015293756
ssp245_aqueous_NA_STPS,7,2090s,5.761634487,5.732387574,0.6187948,4.406057157,8.233975278,0.0071324,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.59163895,16.52898913,1.334392595,13.91365352,21.39281856,0.015380578
ssp245_aqueous_NA_STPS,8,2090s,5.674698359,5.650296885,0.533946459,4.559055615,8.059716894,0.006154415,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.51021388,16.45229391,1.242427009,13.99682029,20.99174037,0.014320558
ssp245_aqueous_NA_STPS,9,2090s,5.598015581,5.57662921,0.483286463,4.534563758,7.895693939,0.005570494,7527,ssp245,aqueous,NA_STPS,NA,STPS,16.37043644,16.31854535,1.147325174,14.15255081,20.61458526,0.013224387
ssp245_aqueous_NA_STSS,1,1850s,-2.640431845,-2.622275379,0.406592924,-4.426217989,-1.38070556,0.007264063,3133,ssp245,aqueous,NA_STSS,NA,STSS,10.04039596,9.983689131,1.129126354,7.396695019,13.29686722,0.020172622
ssp245_aqueous_NA_STSS,10,1850s,-2.477566177,-2.465385208,0.382979072,-4.268669892,-1.70271314,0.006842186,3133,ssp245,aqueous,NA_STSS,NA,STSS,9.300642799,9.253303626,1.060795687,7.550743075,13.46774846,0.018951847
ssp245_aqueous_NA_STSS,11,1850s,-2.542037263,-2.526521545,0.381224899,-4.254115026,-1.781829284,0.006810846,3133,ssp245,aqueous,NA_STSS,NA,STSS,9.420607179,9.368015569,1.043501425,7.553256342,13.10039417,0.018642873
ssp245_aqueous_NA_STSS,12,1850s,-2.618286162,-2.600755703,0.397253539,-4.340720358,-1.831217137,0.007097209,3133,ssp245,aqueous,NA_STSS,NA,STSS,9.708359222,9.652397377,1.072228993,7.449884869,13.09871461,0.019156111
ssp245_aqueous_NA_STSS,2,1850s,-2.666600311,-2.64740871,0.422596905,-4.453220319,-1.007161375,0.007549985,3133,ssp245,aqueous,NA_STSS,NA,STSS,10.27444486,10.21754831,1.179323205,7.436695886,13.55327426,0.021069423
ssp245_aqueous_NA_STSS,3,1850s,-2.620911506,-2.601123235,0.434924976,-4.477095158,-1.632991585,0.007770235,3133,ssp245,aqueous,NA_STSS,NA,STSS,10.31973444,10.26329988,1.171855739,7.510032608,13.57495459,0.020936012
