"","FINAL_TREAT","TIME_TREAT","Study_DOI","CO2_mean","HCO3_mean","CO3_mean","Temp_mean","DIC_mean","pHT_mean","Temp_sd","CO2_sd","CO3_sd","HCO3_sd","DIC_sd","pHT_sd"
"42","0.68","No Comment","10.1594/PANGAEA.835214",0.68,806.09,614.03,15,1420.8,9.01080692563901,NA,NA,NA,NA,NA,NA
"43","0.73","No Comment","10.1594/PANGAEA.835214",0.73,804.25,615.81,20,1420.79,8.93060242192026,NA,NA,NA,NA,NA,NA
"44","0.74","No Comment","10.1594/PANGAEA.834251",0.74,804.43,615.84,20,1421.01,8.93052638962752,NA,NA,NA,NA,NA,NA
"45","0.8","No Comment","10.1594/PANGAEA.861380",0.8,926.4,688.3,15,1615.5,8.99998009210535,0,0,0,0,0,0
"46","0.8","No Comment","10.1594/PANGAEA.920269",0.8,926.4,688.3,15,1615.5,8.99998009210535,0,0,0,0,0,0
"47","0.82","No Comment","10.1594/PANGAEA.835214",0.82,866.25,588.92,15,1455.99,8.96141392472996,NA,NA,NA,NA,NA,NA
"48","1","No Comment","10.1594/PANGAEA.727288",5.79,1591.33714285714,444.972857142857,20,2042.1,8.43469913729174,0,4.30572874203659,262.257150631099,239.025249622593,28.2515675081343,0.321343216083705
"49","1","No Comment","10.1594/PANGAEA.837755",44.098125,2088.91703125,103.3359375,20.4879649890591,2236.35109375,7.66676501048614,5.50119072595444,24.9760944673356,63.1848676307851,170.142470502883,130.75304572151,0.295126212728716
"50","1","No Comment","10.1594/PANGAEA.959616",12.7,1901.14,199.16,20,2113,8.06673477256268,NA,NA,NA,NA,NA,NA
"51","1, Temp2","No Comment","10.1594/PANGAEA.837755",44.098125,2088.91703125,103.3359375,20.9230769230769,2236.35109375,7.65558049632544,5.52637904822094,24.9760944673356,63.1848676307851,170.142470502883,130.75304572151,0.281528673429428
"52","1.01","No Comment","10.1594/PANGAEA.924611",1.01,891.26,549.8,20,1442.07,8.83674707426498,NA,NA,NA,NA,NA,NA
"53","1.04","No Comment","10.1594/PANGAEA.924611",1.04,912.58,561.19,20,1474.81,8.8353857314789,NA,NA,NA,NA,NA,NA
"54","1.2-1400","No Comment","10.1594/PANGAEA.944854",81.06,2388.35,37.7833333333333,2,2507.19333333333,7.55188639551339,0,0.00830454798537235,0.00479463301485289,0.00830454798536644,0.00958926602969896,5.3806235755254e-05
"55","1.2-400","No Comment","10.1594/PANGAEA.944854",24.3355357142857,2216.76660714286,108.408928571429,2,2349.51107142857,8.04202917950581,0,0.00501620749793562,0.0100324149958677,0.0150486224939049,0.0100324149960887,4.31384570658743e-05
"56","1.2-900","No Comment","10.1594/PANGAEA.944854",53.373,2325.608,54.4045,2,2433.3855,7.72178239759256,0,0.0131870506590656,0.0133308613527708,0.0148209654525413,0.0133308613524549,0.00010906657300748
"57","1.42","No Comment","10.1594/PANGAEA.887739",1.42,1068.13,554.22,20,1623.77,8.76160483543,NA,NA,NA,NA,NA,NA
"58","1.44","No Comment","10.1594/PANGAEA.887739",1.44,1070.815,551.115,20,1623.37,8.75807114928579,0,0,4.12243253431752,5.32451406233468,9.4469465966522,0.001089133614708
"59","1.46","No Comment","10.1594/PANGAEA.887739",1.46,1075.19,545.9,20,1622.55,8.75217463227166,NA,NA,NA,NA,NA,NA
"60","1.5","No Comment","10.1594/PANGAEA.834251",1.5,1036.42,545.08,25,1583,8.68687595430213,NA,NA,NA,NA,NA,NA
"61","1.5","No Comment","10.1594/PANGAEA.835214",1.5,1036.36,545.24,25,1583.1,8.68702855890563,NA,NA,NA,NA,NA,NA
"62","1.64","No Comment","10.1594/PANGAEA.924611",1.64,1080.38,499.03,20,1581.05,8.71109687325853,NA,NA,NA,NA,NA,NA
"63","1.68","No Comment","10.1594/PANGAEA.924611",1.68,1102.75,507.09,20,1611.52,8.70915473419556,NA,NA,NA,NA,NA,NA
"64","1.7","No Comment","10.1594/PANGAEA.861380",1.7,1216.6,570.4,15,1788.7,8.80003257365188,0,0,0,0,0,0
